time,Real Lower Band,Real Middle Band,Real Upper Band
2005-09-13,143.2837,146.8900,150.4962
2005-09-12,143.2985,146.9103,150.5220
2005-09-09,143.2608,146.9722,150.6836
2005-09-08,143.2465,146.8683,150.4901
2005-09-06,143.2380,146.8508,150.4636
2005-09-05,143.2417,146.8525,150.4632
2005-09-02,143.2442,146.9022,150.5602
2005-09-01,143.0404,147.1964,151.3523
2005-08-31,142.5571,146.9225,151.2879
2005-08-30,140.6927,146.4288,152.1650
2005-08-29,139.5060,145.9228,152.3395
2005-08-26,138.9464,145.5369,152.1274
2005-08-25,137.2665,144.9783,152.6900
2005-08-24,135.9528,144.5076,153.0625
2005-08-23,135.3222,144.2937,153.2653
2005-08-22,134.9616,144.1418,153.3220
2005-08-19,134.3416,143.7151,153.0887
2005-08-18,134.3350,143.5318,152.7287
2005-08-17,134.2464,143.3693,152.4923
2005-08-16,134.2082,143.2113,152.2144
2005-08-12,133.9192,142.8246,151.7301
2005-08-11,133.4034,142.3355,151.2676
2005-08-10,133.4761,141.8966,150.3172
2005-08-09,133.2753,141.5016,149.7280
2005-08-08,133.1661,141.0661,148.9661
2005-08-05,132.6768,140.5741,148.4715
2005-08-04,132.1553,139.8288,147.5024
2005-08-03,133.0213,138.9377,144.8542
2005-08-02,131.9476,138.3319,144.7162
2005-08-01,130.5772,137.9208,145.2644
2005-07-29,129.7752,137.5583,145.3414
2005-07-27,127.7200,136.8010,145.8821
2005-07-26,126.0935,136.3024,146.5114
2005-07-25,124.3299,135.7186,147.1073
2005-07-22,123.2113,135.1653,147.1193
2005-07-21,122.1308,134.5003,146.8698
2005-07-20,120.7822,133.7781,146.7740
2005-07-19,120.4099,132.8934,145.3768
2005-07-18,119.4478,131.8647,144.2816
2005-07-15,118.9355,130.8117,142.6878
2005-07-14,118.5119,130.0178,141.5236
2005-07-13,118.2587,129.3991,140.5395
2005-07-12,118.7313,128.7313,138.7313
2005-07-11,119.2353,128.1322,137.0290
2005-07-08,120.0594,127.5955,135.1316
2005-07-07,120.0716,126.9128,133.7539
2005-07-06,120.3662,126.5458,132.7254
2005-07-05,120.5615,125.9858,131.4101
2005-07-04,120.5924,125.5639,130.5353
2005-07-01,120.4322,125.1714,129.9105
2005-06-30,121.0758,124.7519,128.4280
2005-06-29,120.4128,124.4772,128.5416
2005-06-28,118.7843,124.0056,129.2268
2005-06-27,117.3922,123.5844,129.7766
2005-06-24,116.6414,123.1260,129.6107
2005-06-23,116.5444,122.8924,129.2405
2005-06-22,116.4841,122.8071,129.1302
2005-06-21,116.2706,122.4899,128.7093
2005-06-20,116.0836,122.3841,128.6847
2005-06-17,115.9037,122.2758,128.6479
2005-06-16,115.6649,122.0772,128.4895
2005-06-15,114.9048,121.6289,128.3530
2005-06-14,114.2160,121.0428,127.8696
2005-06-13,113.4072,120.3933,127.3795
2005-06-10,113.1517,119.7330,126.3144
2005-06-09,112.1815,119.2702,126.3590
2005-06-08,111.6511,118.6008,125.5506
2005-06-07,110.6947,118.0431,125.3915
2005-06-06,110.2326,117.5417,124.8508
2005-06-03,109.9442,117.1167,124.2892
2005-06-02,109.6896,116.5531,123.4166
2005-06-01,109.6275,116.2756,122.9237
2005-05-31,108.9126,115.9789,123.0452
2005-05-30,107.5764,115.5406,123.5048
2005-05-27,106.4647,115.0406,123.6165
2005-05-26,105.6271,114.3142,123.0013
2005-05-25,105.3343,113.5895,121.8447
2005-05-24,104.8869,112.9745,121.0621
2005-05-23,104.7794,112.3851,119.9907
2005-05-20,105.1803,111.9104,118.6404
2005-05-19,105.7569,111.4334,117.1099
2005-05-18,105.6280,111.0281,116.4282
2005-05-17,104.9875,110.5445,116.1015
2005-05-16,104.2433,110.1004,115.9574
2005-05-13,104.0908,109.7268,115.3627
2005-05-12,103.7012,109.3690,115.0367
2005-05-11,103.5679,109.1020,114.6361
2005-05-10,103.4297,108.8992,114.3687
2005-05-09,103.3427,108.5784,113.8141
2005-05-06,103.6501,108.3504,113.0506
2005-05-05,103.7135,108.3190,112.9244
2005-05-04,103.9344,108.2701,112.6057
2005-05-03,103.5585,108.4248,113.2911
2005-05-02,103.1942,108.7931,114.3920
2005-04-29,103.1363,109.0840,115.0316
2005-04-28,103.3512,109.2584,115.1656
2005-04-27,103.4155,109.2981,115.1807
2005-04-26,103.5329,109.3700,115.2072
2005-04-25,103.6170,109.5595,115.5020
2005-04-22,103.4850,109.4325,115.3801
2005-04-21,103.4361,109.3708,115.3056
2005-04-20,103.5542,109.5628,115.5714
2005-04-19,103.9979,109.9797,115.9615
2005-04-18,104.5885,110.4869,116.3853
2005-04-15,104.7146,110.9691,117.2236
2005-04-13,104.9725,111.6099,118.2474
2005-04-12,104.8982,112.2721,119.6461
2005-04-11,104.8718,112.9952,121.1186
2005-04-08,105.4016,113.7410,122.0804
2005-04-07,105.7099,114.3374,122.9649
2005-04-06,105.7591,114.8429,123.9268
2005-04-05,105.6386,115.2529,124.8673
2005-04-04,105.6127,115.6765,125.7404
2005-04-01,105.4324,116.1388,126.8452
2005-03-31,105.6162,116.5727,127.5292
2005-03-30,106.2141,117.2307,128.2474
2005-03-29,107.1397,118.1055,129.0713
2005-03-28,108.4787,118.6810,128.8834
2005-03-24,109.3125,119.0824,128.8524
2005-03-23,111.1167,119.5535,127.9904
2005-03-22,113.2006,120.1522,127.1038
2005-03-21,114.5719,120.4838,126.3958
2005-03-18,114.4159,120.4561,126.4963
2005-03-17,114.1162,120.3947,126.6732
2005-03-16,113.3884,120.2239,127.0594
2005-03-15,112.3248,119.9180,127.5113
2005-03-14,111.0284,119.4641,127.8999
2005-03-11,109.8659,118.9350,128.0041
2005-03-10,108.6251,118.3736,128.1221
2005-03-09,107.6670,117.8636,128.0602
2005-03-08,106.8169,117.3155,127.8142
2005-03-07,105.5228,116.5853,127.6478
2005-03-04,104.5903,115.8850,127.1798
2005-03-03,104.1470,115.1359,126.1248
2005-03-02,103.8292,114.5236,125.2181
2005-03-01,103.6387,113.7598,123.8809
2005-02-28,104.4508,112.9281,121.4054
2005-02-25,104.7692,112.4812,120.1931
2005-02-24,104.6325,111.8234,119.0142
2005-02-23,102.9286,111.0011,119.0736
2005-02-22,102.1040,109.9817,117.8593
2005-02-21,101.6422,109.1633,116.6845
2005-02-18,101.3604,108.7808,116.2013
2005-02-17,100.7277,108.2228,115.7179
2005-02-16,100.1096,107.6697,115.2298
2005-02-15,99.5848,107.1534,114.7219
2005-02-14,98.9005,106.6373,114.3740
2005-02-11,98.4876,106.1708,113.8541
2005-02-10,98.1891,105.7906,113.3921
2005-02-09,98.1860,105.4542,112.7224
2005-02-08,98.3487,105.3222,112.2958
2005-02-07,98.3387,105.3464,112.3541
2005-02-04,98.2635,105.1483,112.0331
2005-02-03,98.3454,105.0116,111.6778
2005-02-02,98.4871,104.9177,111.3483
2005-02-01,98.4908,104.9146,111.3384
2005-01-31,98.5367,104.8890,111.2414
2005-01-28,98.8508,104.7737,110.6967
2005-01-27,98.6914,104.8982,111.1050
2005-01-25,98.8160,105.4218,112.0277
2005-01-24,99.3561,105.8979,112.4398
2005-01-20,99.8062,106.2046,112.6030
2005-01-19,99.8805,106.3418,112.8031
2005-01-18,100.3379,106.6223,112.9068
2005-01-17,100.9477,106.9315,112.9154
2005-01-14,101.6328,107.2798,112.9269
2005-01-13,102.3285,107.4346,112.5407
