time,EMA
2018-07-03,2259.7503
2018-07-02,2253.2503
2018-06-29,2248.4977
2018-06-28,2243.3975
2018-06-27,2240.4025
2018-06-26,2230.5764
2018-06-25,2216.2581
2018-06-22,2198.0590
2018-06-21,2183.6336
2018-06-20,2175.8951
2018-06-19,2166.4788
2018-06-18,2155.5923
2018-06-15,2146.1652
2018-06-14,2131.7405
2018-06-13,2120.5290
2018-06-12,2108.7005
2018-06-11,2093.1268
2018-06-08,2077.1560
2018-06-07,2063.6934
2018-06-06,2052.4191
2018-06-05,2041.6211
2018-06-04,2035.4022
2018-06-01,2032.9340
2018-05-31,2028.4324
2018-05-30,2020.0463
2018-05-29,2010.0143
2018-05-28,2002.9421
2018-05-25,1993.3413
2018-05-24,1980.6035
2018-05-23,1968.8092
2018-05-22,1957.2996
2018-05-21,1937.4470
2018-05-18,1919.8046
2018-05-17,1896.2366
2018-05-16,1878.2352
2018-05-15,1873.9810
2018-05-14,1871.1317
2018-05-11,1872.2192
2018-05-10,1873.6633
2018-05-09,1877.9279
2018-05-08,1880.8098
2018-05-07,1881.9476
2018-05-04,1880.7000
2018-05-03,1882.9895
2018-05-02,1883.7042
2018-04-30,1881.3151
2018-04-27,1878.7115
2018-04-26,1875.9811
2018-04-25,1873.7422
2018-04-24,1871.1204
2018-04-23,1866.2436
2018-04-20,1863.3640
2018-04-19,1861.6075
2018-04-18,1855.7978
2018-04-17,1848.3502
2018-04-16,1839.3028
2018-04-13,1828.5610
2018-04-12,1819.1096
2018-04-11,1807.7316
2018-04-10,1795.3981
2018-04-09,1782.0400
2018-04-06,1765.2232
2018-04-05,1747.5624
2018-04-04,1730.0216
2018-04-03,1717.8450
2018-04-02,1705.8287
2018-03-28,1693.9791
2018-03-27,1686.0032
2018-03-26,1677.0456
2018-03-23,1670.3346
2018-03-22,1669.3330
2018-03-21,1666.6628
2018-03-20,1662.9062
2018-03-19,1663.7437
2018-03-16,1666.4904
2018-03-15,1664.0000
2018-03-14,1657.4947
2018-03-13,1652.2678
2018-03-12,1649.5171
2018-03-09,1647.6767
2018-03-08,1647.2375
2018-03-07,1649.6151
2018-03-06,1652.7061
2018-03-05,1654.2963
2018-03-01,1655.9222
2018-02-28,1655.7298
2018-02-27,1657.1645
2018-02-26,1657.1924
2018-02-23,1655.7810
2018-02-22,1658.4685
2018-02-21,1664.6073
2018-02-20,1671.5554
2018-02-19,1675.5297
2018-02-16,1679.1117
2018-02-15,1679.7709
2018-02-14,1680.0046
2018-02-12,1681.0630
2018-02-09,1685.0539
2018-02-08,1689.8438
2018-02-07,1693.1484
2018-02-06,1698.6061
2018-02-05,1702.6067
2018-02-02,1712.9601
2018-02-01,1721.7717
2018-01-31,1720.7476
2018-01-30,1725.3000
2018-01-29,1730.0895
2018-01-25,1731.7410
2018-01-24,1733.9874
2018-01-23,1733.5545
2018-01-22,1736.3497
2018-01-19,1739.6286
2018-01-18,1743.5948
2018-01-17,1752.3574
2018-01-16,1757.6582
2018-01-15,1765.0328
2018-01-12,1767.4678
2018-01-11,1767.2065
2018-01-10,1765.6809
2018-01-09,1761.9947
2018-01-08,1756.1152
2018-01-05,1747.7168
2018-01-04,1741.0133
2018-01-03,1739.7147
2018-01-02,1742.3952
2018-01-01,1744.5315
2017-12-29,1746.4611
2017-12-28,1745.3728
2017-12-27,1744.3963
2017-12-26,1741.9696
2017-12-22,1737.4295
2017-12-21,1732.7747
2017-12-20,1730.9616
2017-12-19,1727.2838
2017-12-18,1724.2295
2017-12-15,1721.0589
2017-12-14,1720.1335
2017-12-13,1723.9423
2017-12-12,1730.0520
2017-12-11,1733.3575
2017-12-08,1736.1162
2017-12-07,1740.0284
2017-12-06,1747.6946
2017-12-05,1755.8730
2017-12-04,1761.0070
2017-12-01,1769.7077
2017-11-30,1775.7401
2017-11-29,1780.6232
2017-11-28,1783.3836
2017-11-27,1785.1450
2017-11-24,1786.4129
