time,SlowD,SlowK
2019-03-27,45.7672,60.4569
2019-03-26,41.9929,43.8178
2019-03-25,51.9913,33.0270
2019-03-22,68.7930,49.1340
2019-03-20,79.8384,73.8128
2019-03-19,82.6654,83.4323
2019-03-18,78.8050,82.2701
2019-03-15,76.7521,82.2937
2019-03-14,74.4512,71.8511
2019-03-13,78.3763,76.1115
2019-03-12,81.5955,75.3909
2019-03-11,84.8056,83.6266
2019-03-08,84.8679,85.7691
2019-03-07,79.0192,85.0211
2019-03-06,68.7934,83.8136
2019-03-05,59.9422,68.2229
2019-03-01,60.5041,54.3438
2019-02-28,69.3520,57.2600
2019-02-27,79.4436,69.9085
2019-02-26,83.9467,80.8875
2019-02-25,79.3596,87.5349
2019-02-22,63.8968,83.4176
2019-02-21,43.8407,67.1263
2019-02-20,28.8407,41.1465
2019-02-19,21.7654,23.2494
2019-02-18,22.7849,22.1263
2019-02-15,30.1716,19.9206
2019-02-14,45.7725,26.3077
2019-02-12,65.0908,44.2865
2019-02-11,74.6917,66.7233
2019-02-08,75.9412,84.2627
2019-02-07,70.1066,73.0891
2019-02-06,70.5148,70.4719
2019-02-05,72.7462,66.7588
2019-02-04,72.6764,74.3137
2019-02-01,65.8378,77.1661
2019-01-31,55.0953,66.5494
2019-01-30,51.6097,53.7980
2019-01-29,58.3258,44.9385
2019-01-28,71.4533,56.0924
2019-01-25,79.8770,73.9466
2019-01-24,77.8378,84.3209
2019-01-23,67.5918,81.3636
2019-01-22,57.8082,67.8289
2019-01-21,57.8732,53.5828
2019-01-18,64.5765,52.0128
2019-01-17,66.1883,68.0240
2019-01-16,53.2661,73.6929
2019-01-15,33.2590,56.8480
2019-01-14,17.3532,29.2574
2019-01-11,10.1001,13.6714
2019-01-10,8.4242,9.1308
2019-01-09,9.0580,7.4982
2019-01-08,15.0317,8.6436
2019-01-07,29.5264,11.0321
2019-01-04,51.1836,25.4194
2019-01-03,71.3334,52.1277
2019-01-02,77.3381,76.0036
2019-01-01,70.3387,85.8688
2018-12-31,57.3094,70.1421
2018-12-28,52.0303,55.0052
2018-12-27,56.1474,46.7809
2018-12-26,66.3052,54.3049
2018-12-24,76.4175,67.3562
2018-12-21,81.7128,77.2545
2018-12-20,83.3415,84.6419
2018-12-19,81.2263,83.2421
2018-12-18,81.2986,82.1406
2018-12-17,78.3537,78.2964
2018-12-14,68.5456,83.4588
2018-12-13,52.7262,73.3060
2018-12-12,35.9086,48.8719
2018-12-11,32.2650,36.0007
2018-12-10,36.6313,22.8532
2018-12-07,52.0444,37.9412
2018-12-06,65.8754,49.0994
2018-12-05,76.6056,69.0927
2018-12-04,79.5933,79.4340
2018-12-03,78.6365,81.2900
2018-11-30,71.7618,78.0558
2018-11-29,62.7254,76.5637
2018-11-28,56.1330,60.6660
2018-11-27,58.2017,50.9464
2018-11-26,67.5050,56.7865
2018-11-22,74.3549,66.8724
2018-11-21,77.6276,78.8563
2018-11-20,73.8793,77.3360
2018-11-19,64.0488,76.6906
2018-11-16,47.0916,67.6113
2018-11-15,32.4139,47.8444
2018-11-14,22.3253,25.8192
2018-11-13,20.9982,23.5780
2018-11-12,20.2151,17.5786
2018-11-09,24.8151,21.8379
2018-11-07,35.9017,21.2288
2018-11-06,51.2328,31.3784
2018-11-05,66.3242,55.0978
2018-11-02,74.3723,67.2221
2018-11-01,80.9108,76.6527
2018-10-31,86.7085,79.2420
2018-10-30,90.3860,86.8375
2018-10-29,84.0368,94.0460
2018-10-26,66.9934,90.2746
2018-10-25,44.7754,67.7898
2018-10-24,30.7470,42.9158
2018-10-23,31.8204,23.6206
2018-10-22,46.9104,25.7047
2018-10-19,68.4036,46.1357
2018-10-17,81.2065,68.8909
2018-10-16,85.9001,90.1841
2018-10-15,77.1638,84.5446
2018-10-12,64.7535,82.9716
2018-10-11,44.8219,63.9751
2018-10-10,32.1576,47.3139
2018-10-09,29.9331,23.1767
2018-10-08,39.4230,25.9824
2018-10-05,44.8476,40.6404
2018-10-04,42.9126,51.6463
2018-10-03,37.4184,42.2560
2018-10-01,38.6017,34.8356
2018-09-28,42.5643,35.1638
2018-09-27,46.8584,45.8057
2018-09-26,42.7823,46.7236
2018-09-25,37.6626,48.0460
2018-09-24,30.2533,33.5775
2018-09-21,34.3555,31.3644
2018-09-19,39.0450,25.8180
2018-09-18,43.2948,45.8842
2018-09-17,34.7652,45.4327
2018-09-14,26.6995,38.5675
2018-09-12,19.4346,20.2955
2018-09-11,18.8316,21.2354
2018-09-10,16.4871,16.7729
2018-09-07,15.3714,18.4865
2018-09-06,13.0055,14.2018
2018-09-05,13.8763,13.4258
2018-09-04,24.8701,11.3891
2018-09-03,43.1519,16.8142
2018-08-31,65.9410,46.4070
2018-08-30,76.7090,66.2345
2018-08-29,82.2231,85.1816
2018-08-28,79.1159,78.7111
2018-08-27,76.0724,82.7766
2018-08-24,69.7368,75.8600
2018-08-23,64.8684,69.5806
2018-08-21,64.7406,63.7700
2018-08-20,64.7978,61.2548
2018-08-17,66.8240,69.1971
2018-08-16,67.3635,63.9415
2018-08-14,75.0199,67.3333
2018-08-13,81.8397,70.8157
2018-08-10,80.9374,86.9108
2018-08-09,66.0127,87.7925
2018-08-08,43.8890,68.1090
2018-08-07,31.5768,42.1366
2018-08-06,29.8079,21.4215
2018-08-03,35.1654,31.1722
2018-08-02,34.8614,36.8300
2018-08-01,35.7888,37.4939
2018-07-31,43.1109,30.2602
2018-07-30,57.6767,39.6122
2018-07-27,72.2656,59.4602
2018-07-26,81.9729,73.9576
2018-07-25,87.8732,83.3790
2018-07-24,89.2318,88.5821
2018-07-23,87.5867,91.6587
2018-07-20,84.2111,87.4547
2018-07-19,83.4181,83.6466
2018-07-18,84.1794,81.5319
2018-07-17,82.2338,85.0758
2018-07-16,78.0599,85.9304
2018-07-13,72.5724,75.6953
2018-07-12,73.7722,72.5539
2018-07-11,75.4244,69.4679
2018-07-10,77.9783,79.2946
2018-07-09,73.7932,77.5106
2018-07-06,64.8419,77.1298
2018-07-05,50.5434,66.7393
2018-07-04,35.3163,50.6566
2018-07-03,28.0566,34.2343
2018-07-02,31.1144,21.0579
2018-06-29,47.7894,28.8775
2018-06-28,66.5158,43.4079
2018-06-27,76.7561,71.0827
2018-06-26,74.4578,85.0570
2018-06-25,65.4026,74.1287
2018-06-22,61.2313,64.1877
2018-06-21,63.4621,57.8913
2018-06-20,67.5832,61.6148
2018-06-19,72.6058,70.8801
2018-06-18,74.1538,70.2548
2018-06-15,78.6563,76.6824
2018-06-14,82.2258,75.5242
2018-06-13,85.5432,83.7624
2018-06-12,85.2437,87.3907
2018-06-11,80.8255,85.4765
2018-06-08,68.7844,82.8638
2018-06-07,49.8033,74.1360
2018-06-06,33.8854,49.3533
2018-06-05,31.9789,25.9205
2018-06-04,37.3111,26.3824
2018-06-01,39.4562,43.6338
2018-05-31,33.9575,41.9171
2018-05-30,30.3385,32.8177
2018-05-29,33.9849,27.1378
2018-05-28,44.6539,31.0599
2018-05-25,60.2415,43.7570
2018-05-24,74.8319,59.1447
2018-05-23,84.4842,77.8228
