time,EMA
2018-10-16,1769.2348
2018-10-15,1770.5332
2018-10-12,1774.3840
2018-10-11,1779.0192
2018-10-10,1788.8317
2018-10-09,1794.1088
2018-10-08,1802.5992
2018-10-05,1816.5412
2018-10-04,1827.2140
2018-10-03,1832.9628
2018-10-01,1836.5431
2018-09-28,1840.0318
2018-09-27,1848.9299
2018-09-26,1861.4804
2018-09-25,1871.5100
2018-09-24,1882.0110
2018-09-21,1898.9543
2018-09-19,1905.6600
2018-09-18,1913.5031
2018-09-17,1919.5403
2018-09-14,1923.8498
2018-09-12,1923.5972
2018-09-11,1928.4706
2018-09-10,1935.0990
2018-09-07,1940.4989
2018-09-06,1942.1409
2018-09-05,1940.8400
2018-09-04,1940.9442
2018-09-03,1939.4593
2018-08-31,1939.4393
2018-08-30,1940.2750
2018-08-29,1940.9724
2018-08-28,1940.0063
2018-08-27,1938.6964
2018-08-24,1940.2487
2018-08-23,1942.5170
2018-08-21,1946.3503
2018-08-20,1949.8925
2018-08-17,1953.0338
2018-08-16,1960.3426
2018-08-14,1967.6524
2018-08-13,1970.3895
2018-08-10,1972.9357
2018-08-09,1972.6763
2018-08-08,1972.1633
2018-08-07,1971.2542
2018-08-06,1971.1757
2018-08-03,1970.7099
2018-08-02,1970.3268
2018-08-01,1974.2928
2018-07-31,1974.7394
2018-07-30,1972.6330
2018-07-27,1966.7996
2018-07-26,1958.6259
2018-07-25,1951.7654
2018-07-24,1946.6460
2018-07-23,1943.2193
2018-07-20,1940.7581
2018-07-19,1937.1327
2018-07-18,1931.6414
2018-07-17,1923.5773
2018-07-16,1916.5802
2018-07-13,1908.6886
2018-07-12,1901.9295
2018-07-11,1895.6326
2018-07-10,1892.2045
2018-07-09,1887.2576
2018-07-06,1884.8953
2018-07-05,1881.6474
2018-07-04,1876.3892
2018-07-03,1871.4986
2018-07-02,1870.2406
2018-06-29,1867.7291
2018-06-28,1863.5585
2018-06-27,1861.9278
2018-06-26,1857.1833
2018-06-25,1851.2658
2018-06-22,1846.8043
2018-06-21,1840.9521
2018-06-20,1839.4470
2018-06-19,1838.6993
2018-06-18,1839.9624
2018-06-15,1841.5638
2018-06-14,1842.5968
2018-06-13,1843.5701
2018-06-12,1844.9670
2018-06-11,1844.6688
2018-06-08,1845.2181
2018-06-07,1845.7463
2018-06-06,1843.5302
2018-06-05,1842.3596
2018-06-04,1841.8659
2018-06-01,1842.8308
2018-05-31,1842.7761
2018-05-30,1844.2788
2018-05-29,1849.6871
2018-05-28,1853.8489
2018-05-25,1856.3225
2018-05-24,1860.1459
2018-05-23,1865.8402
2018-05-22,1874.4655
2018-05-21,1881.2672
2018-05-18,1887.7006
2018-05-17,1890.9059
2018-05-16,1892.5749
2018-05-15,1890.2302
2018-05-14,1886.0544
2018-05-11,1881.4391
2018-05-10,1877.2537
2018-05-09,1875.2857
2018-05-08,1873.0736
2018-05-07,1869.7340
2018-05-04,1865.0744
2018-05-03,1860.1296
2018-05-02,1853.5222
2018-04-30,1847.5246
2018-04-27,1843.6166
2018-04-26,1842.1184
2018-04-25,1840.6624
2018-04-24,1839.7479
2018-04-23,1838.3161
2018-04-20,1839.0863
2018-04-19,1839.8690
2018-04-18,1837.2816
2018-04-17,1833.1428
2018-04-16,1827.1631
2018-04-13,1822.5803
2018-04-12,1820.6834
2018-04-11,1819.8712
2018-04-10,1820.5208
2018-04-09,1820.3914
2018-04-06,1818.6852
2018-04-05,1817.5363
2018-04-04,1816.9928
2018-04-03,1818.4394
2018-04-02,1817.2119
2018-03-28,1815.0132
2018-03-27,1814.0251
2018-03-26,1813.1909
2018-03-23,1811.1478
2018-03-22,1813.8844
2018-03-21,1814.4460
2018-03-20,1813.9824
2018-03-19,1815.4542
2018-03-16,1819.6652
2018-03-15,1822.7036
2018-03-14,1821.9251
2018-03-13,1819.3593
2018-03-12,1814.7392
2018-03-09,1810.5065
2018-03-08,1809.6703
2018-03-07,1810.9514
2018-03-06,1816.1200
2018-03-05,1821.8116
2018-03-01,1825.1075
2018-02-28,1826.4188
2018-02-27,1827.6471
2018-02-26,1827.6679
2018-02-23,1826.0803
2018-02-22,1826.2940
2018-02-21,1827.1934
2018-02-20,1827.5190
2018-02-19,1829.4526
2018-02-16,1831.3634
2018-02-15,1832.9700
2018-02-14,1833.2827
2018-02-12,1835.3335
2018-02-09,1838.4844
2018-02-08,1845.3564
2018-02-07,1848.8992
2018-02-06,1855.6360
2018-02-05,1862.6608
2018-02-02,1866.5251
2018-02-01,1862.6541
2018-01-31,1851.6124
2018-01-30,1840.6558
2018-01-29,1830.9090
2018-01-25,1818.0310
2018-01-24,1809.1343
2018-01-23,1798.7326
2018-01-22,1789.9940
2018-01-19,1781.1355
2018-01-18,1768.5760
2018-01-17,1755.0577
2018-01-16,1744.0164
2018-01-15,1732.9971
2018-01-12,1718.5810
2018-01-11,1714.0896
2018-01-10,1711.2779
2018-01-09,1709.7967
2018-01-08,1707.0858
2018-01-05,1703.7369
2018-01-04,1701.3987
2018-01-03,1700.9670
2018-01-02,1700.9740
2018-01-01,1700.8607
2017-12-29,1702.2829
2017-12-28,1701.4285
2017-12-27,1702.1578
2017-12-26,1701.5428
2017-12-22,1700.7474
2017-12-21,1699.9471
2017-12-20,1699.7152
2017-12-19,1700.4326
2017-12-18,1699.4571
2017-12-15,1697.4947
2017-12-14,1694.8257
2017-12-13,1693.2810
2017-12-12,1692.8422
2017-12-11,1690.9782
2017-12-08,1688.8811
2017-12-07,1690.1055
2017-12-06,1693.6797
2017-12-05,1698.2776
2017-12-04,1700.3331
2017-12-01,1702.5208
2017-11-30,1707.0757
2017-11-29,1710.1521
2017-11-28,1710.9154
2017-11-27,1709.3749
2017-11-24,1709.1828
2017-11-23,1709.0810
2017-11-22,1709.6948
2017-11-21,1708.7890
2017-11-20,1710.5089
2017-11-17,1712.6519
2017-11-16,1713.8785
2017-11-15,1719.1341
2017-11-14,1726.2114
2017-11-13,1732.9020
2017-11-10,1739.4075
2017-11-09,1742.7399
2017-11-08,1744.5125
2017-11-07,1744.2454
2017-11-06,1742.1396
2017-11-03,1737.7017
2017-11-02,1733.7387
2017-11-01,1730.8165
2017-10-31,1728.6550
2017-10-30,1730.8977
2017-10-27,1733.5711
2017-10-26,1737.3155
2017-10-25,1742.4487
2017-10-24,1749.2433
2017-10-23,1752.0373
2017-10-19,1755.3149
2017-10-18,1756.1428
2017-10-17,1756.5683
2017-10-16,1755.7861
2017-10-13,1754.9320
2017-10-12,1753.8406
2017-10-11,1753.6975
2017-10-10,1754.0604
2017-10-09,1755.0457
2017-10-06,1755.6137
2017-10-05,1757.2572
2017-10-04,1757.4948
2017-10-03,1756.4153
2017-09-29,1755.7695
2017-09-28,1757.3558
2017-09-27,1759.1564
2017-09-26,1763.3887
2017-09-25,1765.8664
2017-09-22,1767.0419
2017-09-21,1765.4147
2017-09-20,1762.9478
2017-09-19,1762.5634
2017-09-18,1763.5858
2017-09-15,1762.8159
2017-09-14,1761.9702
2017-09-13,1760.9724
2017-09-12,1759.2537
2017-09-11,1755.2383
2017-09-08,1752.4897
2017-09-07,1749.7780
2017-09-06,1746.7178
2017-09-05,1743.7566
2017-09-04,1741.3099
2017-09-01,1739.8109
2017-08-31,1737.7700
2017-08-30,1733.8037
2017-08-29,1731.1093
2017-08-28,1731.4524
2017-08-24,1727.7368
2017-08-23,1724.7723
2017-08-22,1720.7641
2017-08-21,1717.6972
2017-08-18,1715.4653
2017-08-17,1713.4038
2017-08-16,1708.6936
2017-08-14,1705.2351
2017-08-11,1704.2703
2017-08-10,1705.3356
2017-08-09,1705.6341
2017-08-08,1702.9167
2017-08-07,1701.0552
2017-08-04,1698.3663
2017-08-03,1694.7312
2017-08-02,1690.2134
2017-08-01,1682.2359
2017-07-31,1672.5344
2017-07-28,1660.5749
2017-07-27,1647.6038
2017-07-26,1639.0884
2017-07-25,1639.7030
2017-07-24,1640.4822
2017-07-21,1641.0593
2017-07-20,1641.0024
2017-07-19,1639.9395
2017-07-18,1638.3489
2017-07-17,1636.7909
2017-07-14,1635.2110
