time,SMA
2018-02-08,1670.7450
2018-02-07,1678.7100
2018-02-06,1685.2800
2018-02-05,1689.7400
2018-02-02,1699.5100
2018-02-01,1702.6200
2018-01-31,1699.6700
2018-01-30,1700.6800
2018-01-29,1706.8900
2018-01-25,1712.4450
2018-01-24,1719.5750
2018-01-23,1725.8350
2018-01-22,1736.9200
2018-01-19,1749.9900
2018-01-18,1760.9350
2018-01-17,1770.2350
2018-01-16,1771.4600
2018-01-15,1774.9100
2018-01-12,1773.3400
2018-01-11,1772.0250
2018-01-10,1769.3200
2018-01-09,1765.9950
2018-01-08,1762.7200
2018-01-05,1757.2950
2018-01-04,1751.1550
2018-01-03,1752.4100
2018-01-02,1756.6150
2018-01-01,1759.8400
2017-12-29,1760.2050
2017-12-28,1752.9200
2017-12-27,1744.0450
2017-12-26,1737.1650
2017-12-22,1729.3700
2017-12-21,1721.1000
2017-12-20,1712.8200
2017-12-19,1703.2300
2017-12-18,1698.3100
2017-12-15,1690.7100
2017-12-14,1688.9650
2017-12-13,1693.5050
2017-12-12,1702.3550
2017-12-11,1709.1550
2017-12-08,1715.7500
2017-12-07,1724.4000
2017-12-06,1734.0650
2017-12-05,1744.4850
2017-12-04,1754.3350
2017-12-01,1767.0700
2017-11-30,1774.5000
2017-11-29,1777.5450
2017-11-28,1773.6050
2017-11-27,1772.1500
2017-11-24,1767.8800
2017-11-23,1764.0850
2017-11-22,1763.2150
2017-11-21,1763.3450
2017-11-20,1762.9450
2017-11-17,1764.3200
2017-11-16,1769.1650
2017-11-15,1774.2600
2017-11-14,1783.1200
2017-11-13,1787.8750
2017-11-10,1795.1550
2017-11-09,1801.7900
2017-11-08,1801.2850
2017-11-07,1796.4650
2017-11-06,1798.9450
2017-11-03,1800.3500
2017-11-02,1801.5150
2017-11-01,1807.3600
2017-10-31,1813.7050
2017-10-30,1822.6250
2017-10-27,1837.7900
2017-10-26,1851.5850
2017-10-25,1868.9450
2017-10-24,1891.3900
2017-10-23,1902.2150
2017-10-19,1910.9000
2017-10-18,1913.1200
2017-10-17,1912.6250
2017-10-16,1912.3000
2017-10-13,1906.9100
2017-10-12,1895.5300
2017-10-11,1881.2550
2017-10-10,1872.8000
2017-10-09,1857.1150
2017-10-06,1849.6800
2017-10-05,1849.3100
2017-10-04,1852.8700
2017-10-03,1857.6000
2017-09-29,1862.4950
2017-09-28,1869.2150
2017-09-27,1876.4850
2017-09-26,1886.1300
2017-09-25,1891.6500
2017-09-22,1904.2200
2017-09-21,1907.5150
2017-09-20,1911.7300
2017-09-19,1907.0450
2017-09-18,1894.6400
2017-09-15,1883.2650
2017-09-14,1872.9800
2017-09-13,1859.9700
2017-09-12,1848.0250
2017-09-11,1836.1800
2017-09-08,1826.7300
2017-09-07,1813.5700
2017-09-06,1795.5650
2017-09-05,1778.0700
2017-09-04,1768.5200
2017-09-01,1759.3450
2017-08-31,1752.3000
2017-08-30,1746.1400
2017-08-29,1738.5250
2017-08-28,1730.7150
2017-08-24,1711.9450
2017-08-23,1705.8700
2017-08-22,1705.8600
2017-08-21,1717.0250
2017-08-18,1720.1250
2017-08-17,1719.6600
2017-08-16,1717.4000
2017-08-14,1716.6350
2017-08-11,1715.8550
2017-08-10,1716.2350
2017-08-09,1720.6150
2017-08-08,1719.1350
2017-08-07,1703.6150
2017-08-04,1683.9900
2017-08-03,1673.4450
2017-08-02,1662.0300
2017-08-01,1645.7050
2017-07-31,1625.5500
2017-07-28,1609.2100
2017-07-27,1589.0050
2017-07-26,1569.1250
2017-07-25,1544.4150
2017-07-24,1523.9150
2017-07-21,1504.8850
2017-07-20,1482.4450
2017-07-19,1463.2050
2017-07-18,1448.5700
2017-07-17,1435.2550
2017-07-14,1420.0100
2017-07-13,1407.4750
2017-07-12,1396.5100
2017-07-11,1389.6250
2017-07-10,1382.8700
2017-07-07,1382.2050
2017-07-06,1382.9750
2017-07-05,1384.8650
2017-07-04,1386.2300
2017-07-03,1388.1950
2017-06-30,1390.2650
2017-06-29,1393.0450
2017-06-28,1391.9200
2017-06-27,1391.8800
2017-06-23,1393.0600
2017-06-22,1390.6400
2017-06-21,1386.3650
2017-06-20,1379.2200
2017-06-19,1371.7550
2017-06-16,1367.7650
2017-06-15,1363.0750
2017-06-14,1355.5700
2017-06-13,1351.8150
2017-06-12,1346.9800
2017-06-09,1341.4750
2017-06-08,1335.5250
2017-06-07,1325.7200
2017-06-06,1313.6900
2017-06-05,1304.0050
2017-06-02,1292.2550
2017-06-01,1285.4000
2017-05-31,1283.9500
2017-05-30,1283.7350
2017-05-29,1286.0150
2017-05-26,1288.5200
2017-05-25,1288.3100
2017-05-24,1296.1250
2017-05-23,1306.4450
2017-05-22,1311.1000
2017-05-19,1314.1400
2017-05-18,1312.3700
2017-05-17,1310.7650
2017-05-16,1305.4950
2017-05-15,1298.0450
2017-05-12,1292.1750
2017-05-11,1289.2150
2017-05-10,1286.5700
2017-05-09,1288.1150
2017-05-08,1286.6200
2017-05-05,1284.0800
2017-05-04,1281.8900
2017-05-03,1276.6450
2017-05-02,1273.4100
2017-04-28,1272.5100
2017-04-27,1272.0050
2017-04-26,1269.9100
2017-04-25,1264.3050
2017-04-24,1253.6700
2017-04-21,1246.5050
2017-04-20,1241.6800
2017-04-19,1233.8200
2017-04-18,1227.7150
2017-04-17,1221.3500
2017-04-13,1213.3100
2017-04-12,1204.6050
2017-04-11,1197.5250
2017-04-10,1190.2600
2017-04-07,1184.6600
2017-04-06,1183.1450
2017-04-05,1179.1550
2017-04-03,1179.3150
2017-03-31,1178.8250
2017-03-30,1177.2350
2017-03-29,1175.0800
2017-03-28,1170.3050
2017-03-27,1163.3600
2017-03-24,1154.4750
2017-03-23,1145.3350
2017-03-22,1134.8900
2017-03-21,1124.2300
2017-03-20,1110.3100
2017-03-17,1096.8800
2017-03-16,1085.8000
2017-03-15,1077.4600
2017-03-14,1074.7750
2017-03-10,1071.1850
2017-03-09,1068.5700
2017-03-08,1067.6800
2017-03-07,1069.3300
2017-03-06,1074.1450
