time,VWAP
2020-06-05 10:05,326.1159
2020-06-05 10:00,326.0997
2020-06-05 09:55,325.9701
2020-06-05 09:50,325.7321
2020-06-05 09:45,325.3376
2020-06-05 09:40,324.9905
2020-06-05 09:35,324.0400
2020-06-04 16:00,323.4623
2020-06-04 15:55,323.5217
2020-06-04 15:50,323.5735
2020-06-04 15:45,323.5974
2020-06-04 15:40,323.6235
2020-06-04 15:35,323.6510
2020-06-04 15:30,323.6797
2020-06-04 15:25,323.7050
2020-06-04 15:20,323.7524
2020-06-04 15:15,323.7965
2020-06-04 15:10,323.8361
2020-06-04 15:05,323.8783
2020-06-04 15:00,323.9222
2020-06-04 14:55,323.9897
2020-06-04 14:50,324.0253
2020-06-04 14:45,324.0672
2020-06-04 14:40,324.1140
2020-06-04 14:35,324.1389
2020-06-04 14:30,324.1657
2020-06-04 14:25,324.1740
2020-06-04 14:20,324.1809
2020-06-04 14:15,324.1863
2020-06-04 14:10,324.1927
2020-06-04 14:05,324.1982
2020-06-04 14:00,324.2022
2020-06-04 13:55,324.2093
2020-06-04 13:50,324.2152
2020-06-04 13:45,324.2212
2020-06-04 13:40,324.2301
2020-06-04 13:35,324.2401
2020-06-04 13:30,324.2533
2020-06-04 13:25,324.2686
2020-06-04 13:20,324.2830
2020-06-04 13:15,324.2950
2020-06-04 13:10,324.3092
2020-06-04 13:05,324.3266
2020-06-04 13:00,324.3529
2020-06-04 12:55,324.3897
2020-06-04 12:50,324.4087
2020-06-04 12:45,324.4326
2020-06-04 12:40,324.4513
2020-06-04 12:35,324.4718
2020-06-04 12:30,324.5068
2020-06-04 12:25,324.5133
2020-06-04 12:20,324.5186
2020-06-04 12:15,324.5284
2020-06-04 12:10,324.5384
2020-06-04 12:05,324.5455
2020-06-04 12:00,324.5529
2020-06-04 11:55,324.5609
2020-06-04 11:50,324.5710
2020-06-04 11:45,324.5836
2020-06-04 11:40,324.6008
2020-06-04 11:35,324.6161
2020-06-04 11:30,324.6401
2020-06-04 11:25,324.6849
2020-06-04 11:20,324.7239
2020-06-04 11:15,324.7984
2020-06-04 11:10,324.8567
2020-06-04 11:05,324.8948
2020-06-04 11:00,324.9036
2020-06-04 10:55,324.9093
2020-06-04 10:50,324.9066
2020-06-04 10:45,324.8982
2020-06-04 10:40,324.8839
2020-06-04 10:35,324.8554
2020-06-04 10:30,324.8301
2020-06-04 10:25,324.8206
2020-06-04 10:20,324.8042
2020-06-04 10:15,324.7950
2020-06-04 10:10,324.8060
2020-06-04 10:05,324.8037
2020-06-04 10:00,324.8012
2020-06-04 09:55,324.7863
2020-06-04 09:50,324.7053
2020-06-04 09:45,324.5434
2020-06-04 09:40,324.4944
2020-06-04 09:35,324.5067
2020-06-03 16:00,324.2197
2020-06-03 15:55,324.1836
2020-06-03 15:50,324.1305
2020-06-03 15:45,324.0988
2020-06-03 15:40,324.0520
2020-06-03 15:35,324.0310
2020-06-03 15:30,324.0016
2020-06-03 15:25,323.9509
2020-06-03 15:20,323.9275
2020-06-03 15:15,323.9142
2020-06-03 15:10,323.8905
2020-06-03 15:05,323.8808
2020-06-03 15:00,323.8679
2020-06-03 14:55,323.8392
2020-06-03 14:50,323.8282
2020-06-03 14:45,323.8149
2020-06-03 14:40,323.7986
2020-06-03 14:35,323.7904
2020-06-03 14:30,323.7734
2020-06-03 14:25,323.7704
2020-06-03 14:20,323.7668
2020-06-03 14:15,323.7636
2020-06-03 14:10,323.7508
2020-06-03 14:05,323.7420
2020-06-03 14:00,323.7309
2020-06-03 13:55,323.7288
2020-06-03 13:50,323.7294
2020-06-03 13:45,323.7296
2020-06-03 13:40,323.7268
2020-06-03 13:35,323.7247
2020-06-03 13:30,323.7179
2020-06-03 13:25,323.7110
2020-06-03 13:20,323.7056
2020-06-03 13:15,323.7057
2020-06-03 13:10,323.7083
2020-06-03 13:05,323.7109
2020-06-03 13:00,323.7139
2020-06-03 12:55,323.7168
2020-06-03 12:50,323.7190
2020-06-03 12:45,323.7190
2020-06-03 12:40,323.7182
2020-06-03 12:35,323.7208
2020-06-03 12:30,323.7270
2020-06-03 12:25,323.7384
2020-06-03 12:20,323.7630
2020-06-03 12:15,323.7917
2020-06-03 12:10,323.8183
2020-06-03 12:05,323.8264
2020-06-03 12:00,323.8335
2020-06-03 11:55,323.8353
2020-06-03 11:50,323.8364
2020-06-03 11:45,323.8391
2020-06-03 11:40,323.8440
2020-06-03 11:35,323.8484
2020-06-03 11:30,323.8504
2020-06-03 11:25,323.8488
2020-06-03 11:20,323.8490
2020-06-03 11:15,323.8452
2020-06-03 11:10,323.8404
2020-06-03 11:05,323.8309
2020-06-03 11:00,323.8155
2020-06-03 10:55,323.8065
2020-06-03 10:50,323.8075
2020-06-03 10:45,323.8165
2020-06-03 10:40,323.8301
2020-06-03 10:35,323.8364
2020-06-03 10:30,323.8366
2020-06-03 10:25,323.8376
2020-06-03 10:20,323.8416
2020-06-03 10:15,323.8483
2020-06-03 10:10,323.8658
2020-06-03 10:05,323.8415
2020-06-03 10:00,323.7660
2020-06-03 09:55,323.6475
2020-06-03 09:50,323.5733
2020-06-03 09:45,323.4830
2020-06-03 09:40,323.4381
2020-06-03 09:35,323.6323
2020-06-02 16:00,321.2954
2020-06-02 15:55,321.1975
2020-06-02 15:50,321.1452
2020-06-02 15:45,321.1311
2020-06-02 15:40,321.1202
2020-06-02 15:35,321.1111
2020-06-02 15:30,321.1050
2020-06-02 15:25,321.0972
2020-06-02 15:20,321.0866
2020-06-02 15:15,321.0775
2020-06-02 15:10,321.0707
2020-06-02 15:05,321.0614
2020-06-02 15:00,321.0516
2020-06-02 14:55,321.0422
2020-06-02 14:50,321.0346
2020-06-02 14:45,321.0247
2020-06-02 14:40,321.0188
2020-06-02 14:35,321.0135
2020-06-02 14:30,321.0047
2020-06-02 14:25,320.9901
2020-06-02 14:20,320.9781
2020-06-02 14:15,320.9674
2020-06-02 14:10,320.9618
2020-06-02 14:05,320.9532
2020-06-02 14:00,320.9455
2020-06-02 13:55,320.9372
2020-06-02 13:50,320.9221
2020-06-02 13:45,320.9049
2020-06-02 13:40,320.8871
2020-06-02 13:35,320.8779
2020-06-02 13:30,320.8704
2020-06-02 13:25,320.8629
2020-06-02 13:20,320.8560
2020-06-02 13:15,320.8493
2020-06-02 13:10,320.8436
2020-06-02 13:05,320.8373
2020-06-02 13:00,320.8335
2020-06-02 12:55,320.8320
2020-06-02 12:50,320.8307
2020-06-02 12:45,320.8305
2020-06-02 12:40,320.8317
2020-06-02 12:35,320.8354
2020-06-02 12:30,320.8387
2020-06-02 12:25,320.8410
2020-06-02 12:20,320.8457
2020-06-02 12:15,320.8527
2020-06-02 12:10,320.8594
2020-06-02 12:05,320.8688
2020-06-02 12:00,320.8819
2020-06-02 11:55,320.9015
2020-06-02 11:50,320.9176
2020-06-02 11:45,320.9335
2020-06-02 11:40,320.9514
2020-06-02 11:35,320.9737
2020-06-02 11:30,321.0046
2020-06-02 11:25,321.0408
2020-06-02 11:20,321.0784
2020-06-02 11:15,321.1411
2020-06-02 11:10,321.2116
2020-06-02 11:05,321.2926
2020-06-02 11:00,321.3886
2020-06-02 10:55,321.4193
2020-06-02 10:50,321.4655
2020-06-02 10:45,321.5126
2020-06-02 10:40,321.5306
2020-06-02 10:35,321.5258
2020-06-02 10:30,321.5171
2020-06-02 10:25,321.4937
2020-06-02 10:20,321.4460
2020-06-02 10:15,321.4330
2020-06-02 10:10,321.4221
2020-06-02 10:05,321.3951
2020-06-02 10:00,321.3793
2020-06-02 09:55,321.4162
2020-06-02 09:50,321.4882
2020-06-02 09:45,321.5426
