time,SMA
2014-01-07,707.0232
2014-01-06,711.2582
2014-01-03,714.0999
2014-01-02,716.5799
2014-01-01,716.6999
2013-12-31,716.2299
2013-12-30,716.1182
2013-12-27,715.4215
2013-12-26,713.6133
2013-12-24,711.4200
2013-12-23,708.9600
2013-12-20,706.7467
2013-12-19,703.4950
2013-12-18,699.7350
2013-12-17,695.8267
2013-12-16,693.5084
2013-12-13,690.7717
2013-12-12,687.1033
2013-12-11,682.2133
2013-12-10,677.1467
2013-12-09,671.9250
2013-12-06,666.1733
2013-12-05,661.4883
2013-12-04,657.3500
2013-12-03,654.9700
2013-12-02,652.5367
2013-11-29,649.4034
2013-11-28,646.9384
2013-11-27,645.4050
2013-11-26,644.0316
2013-11-25,642.2183
2013-11-22,640.9633
2013-11-21,640.4066
2013-11-20,639.9516
2013-11-19,638.2483
2013-11-18,634.1983
2013-11-14,629.5700
2013-11-13,627.2450
2013-11-12,625.8134
2013-11-11,624.2517
2013-11-08,620.9967
2013-11-07,616.7100
2013-11-06,612.4468
2013-11-05,607.3250
2013-11-01,602.3734
2013-10-31,597.2501
2013-10-30,591.4984
2013-10-29,585.4717
2013-10-28,580.1400
2013-10-25,575.6317
2013-10-24,571.7701
2013-10-23,567.1567
2013-10-22,562.6284
2013-10-21,559.7051
2013-10-18,558.4717
2013-10-17,557.2534
2013-10-15,556.7434
2013-10-14,555.3734
2013-10-11,553.9517
2013-10-10,551.6767
2013-10-09,550.6950
2013-10-08,549.4367
2013-10-07,546.9550
2013-10-04,544.2467
2013-10-03,540.2133
2013-10-01,535.7616
2013-09-30,533.3416
2013-09-27,531.1300
2013-09-26,527.9533
2013-09-25,523.7733
2013-09-24,519.5566
2013-09-23,516.8366
2013-09-20,514.4133
2013-09-19,510.3600
2013-09-18,504.3750
2013-09-17,500.9566
2013-09-16,498.1683
2013-09-13,495.7699
2013-09-12,494.5832
2013-09-11,494.2565
2013-09-10,493.6215
2013-09-06,492.7199
2013-09-05,493.6298
2013-09-04,495.8865
2013-09-03,499.7115
2013-09-02,504.2332
2013-08-30,508.1299
2013-08-29,512.2699
2013-08-28,516.5166
2013-08-27,521.0700
2013-08-26,525.7550
2013-08-23,529.3983
2013-08-22,533.6750
2013-08-21,539.5800
2013-08-20,546.0250
2013-08-19,554.0733
2013-08-16,562.3083
2013-08-14,569.3533
2013-08-13,575.1317
2013-08-12,581.8634
2013-08-08,588.4184
2013-08-07,594.6734
2013-08-06,600.0539
2013-08-05,605.2695
2013-08-02,609.3395
2013-08-01,612.9928
2013-07-31,616.0228
2013-07-30,618.7567
2013-07-29,622.2139
2013-07-26,626.3900
2013-07-25,629.4050
2013-07-24,630.9494
2013-07-23,632.1355
2013-07-22,632.4461
2013-07-19,632.4900
2013-07-18,630.9755
2013-07-17,629.1605
2013-07-16,628.8361
2013-07-15,628.4194
2013-07-12,627.2244
2013-07-11,626.0967
2013-07-10,624.7911
2013-07-09,624.4300
2013-07-08,623.9189
2013-07-05,623.9623
2013-07-04,624.0267
2013-07-03,624.5912
2013-07-02,625.1867
2013-07-01,624.7267
2013-06-28,623.3401
2013-06-27,623.2834
2013-06-26,624.9789
2013-06-25,627.0456
2013-06-24,628.9800
2013-06-21,631.4356
2013-06-20,632.8356
2013-06-19,633.3311
2013-06-18,635.1023
2013-06-17,638.8423
2013-06-14,642.4778
2013-06-13,646.5367
2013-06-12,650.9989
2013-06-11,655.0667
2013-06-10,657.6678
2013-06-07,660.1356
2013-06-06,663.4479
2013-06-05,666.4401
2013-06-04,669.6123
2013-06-03,673.3534
2013-05-31,677.2089
2013-05-30,680.9289
2013-05-29,683.7178
2013-05-28,685.1767
2013-05-27,686.8356
2013-05-24,688.5334
2013-05-23,689.9078
2013-05-22,691.7934
2013-05-21,692.1878
2013-05-20,689.2134
2013-05-17,684.8334
2013-05-16,680.4445
2013-05-15,675.7156
2013-05-14,670.8101
2013-05-13,667.6101
2013-05-10,663.9023
2013-05-09,658.5378
2013-05-08,653.2478
2013-05-07,648.5034
2013-05-06,643.7012
2013-05-03,639.6678
2013-05-02,636.4090
2013-04-30,632.9101
2013-04-29,629.6279
2013-04-26,625.3500
2013-04-25,621.4812
2013-04-23,618.8056
2013-04-22,616.4301
2013-04-18,614.2667
2013-04-17,614.1756
2013-04-16,616.1067
2013-04-15,617.9056
2013-04-12,621.0634
2013-04-11,624.0567
2013-04-10,626.7389
2013-04-09,630.2012
2013-04-08,634.1089
2013-04-05,637.1900
2013-04-04,639.0778
2013-04-03,639.7989
2013-04-02,639.4712
