time,SlowD,SlowK
2018-02-07,23.0050,18.9678
2018-02-06,32.7074,16.7399
2018-02-05,50.1741,33.3072
2018-02-02,62.6564,48.0751
2018-02-01,74.0101,69.1399
2018-01-31,78.6195,70.7541
2018-01-30,83.5834,82.1363
2018-01-29,85.7190,82.9679
2018-01-25,87.9206,85.6461
2018-01-24,86.0357,88.5432
2018-01-23,82.6273,89.5725
2018-01-22,73.5233,79.9915
2018-01-19,63.9590,78.3178
2018-01-18,51.1818,62.2605
2018-01-17,43.6507,51.2986
2018-01-16,43.5563,39.9864
2018-01-15,50.8411,39.6671
2018-01-12,64.9659,51.0153
2018-01-11,77.1425,61.8408
2018-01-10,86.7255,82.0417
2018-01-09,88.2430,87.5450
2018-01-08,80.7458,90.5898
2018-01-05,67.2799,86.5943
2018-01-04,49.8529,65.0533
2018-01-03,43.0085,50.1920
2018-01-02,43.7465,34.3135
2018-01-01,56.3612,44.5200
2017-12-29,70.8048,52.4060
2017-12-28,83.8924,72.1577
2017-12-27,89.5448,87.8509
2017-12-26,89.0208,91.6687
2017-12-22,86.8284,89.1149
2017-12-21,81.8163,86.2789
2017-12-20,70.6902,85.0913
2017-12-19,52.4374,74.0789
2017-12-18,37.0606,52.9004
2017-12-15,35.3934,30.3330
2017-12-14,48.4519,27.9485
2017-12-13,65.1434,47.8988
2017-12-12,65.8305,69.5085
2017-12-11,54.2929,78.0229
2017-12-08,37.3313,49.9602
2017-12-07,31.4253,34.8957
2017-12-06,30.8172,27.1381
2017-12-05,31.9520,32.2420
2017-12-04,31.3855,33.0715
2017-12-01,32.1563,30.5426
2017-11-30,30.8931,30.5425
2017-11-29,29.4112,35.3838
2017-11-28,23.9830,26.7531
2017-11-27,24.6615,26.0968
2017-11-24,30.2359,19.0991
2017-11-23,38.4291,28.7886
2017-11-22,41.0799,42.8198
2017-11-21,33.7891,43.6789
2017-11-20,23.0757,36.7410
2017-11-17,18.1017,20.9475
2017-11-16,27.0456,11.5386
2017-11-15,41.9687,21.8189
2017-11-14,51.4524,47.7792
2017-11-13,44.6540,56.3079
2017-11-10,36.5205,50.2702
2017-11-09,34.6055,27.3837
2017-11-08,40.5167,31.9077
2017-11-07,43.1596,44.5250
2017-11-06,41.9802,45.1174
2017-11-03,48.9074,39.8363
2017-11-02,63.7083,40.9870
2017-11-01,79.0853,65.8989
2017-10-31,85.5639,84.2391
2017-10-30,82.1499,87.1179
2017-10-27,72.0523,85.3348
2017-10-26,55.3368,73.9969
2017-10-25,40.1940,56.8251
2017-10-24,35.4504,35.1882
2017-10-23,42.1732,28.5685
2017-10-19,52.0130,42.5946
2017-10-18,54.5259,55.3564
2017-10-17,48.2388,58.0881
2017-10-16,42.1668,50.1333
2017-10-13,37.8241,36.4951
2017-10-12,41.3909,39.8720
2017-10-11,40.0679,37.1053
2017-10-10,37.4131,47.1955
2017-10-09,27.2891,35.9031
2017-10-06,21.6249,29.1408
2017-10-05,16.1334,16.8235
2017-10-04,13.9612,18.9104
2017-10-03,10.4282,12.6664
2017-09-29,10.6519,10.3067
2017-09-28,12.0993,8.3116
2017-09-27,18.7824,13.3375
2017-09-26,29.5202,14.6486
2017-09-25,45.0135,28.3611
2017-09-22,59.0216,45.5507
2017-09-21,66.4378,61.1288
2017-09-20,71.3362,70.3853
2017-09-19,74.1259,67.7994
2017-09-18,81.5941,75.8240
2017-09-15,88.1045,78.7543
2017-09-14,92.8998,90.2040
2017-09-13,87.1818,95.3553
2017-09-12,69.4956,93.1402
2017-09-11,46.1542,73.0499
2017-09-08,28.9640,42.2968
2017-09-07,27.0068,23.1159
2017-09-06,32.5154,21.4792
2017-09-05,41.9843,36.4253
2017-09-04,45.2887,39.6416
2017-09-01,50.6529,49.8860
2017-08-31,53.4522,46.3385
2017-08-30,55.7013,55.7343
2017-08-29,48.7965,58.2839
2017-08-28,35.2526,53.0858
2017-08-24,24.1915,35.0199
2017-08-23,21.0492,17.6521
2017-08-22,26.3244,19.9024
2017-08-21,31.9705,25.5930
2017-08-18,33.6578,33.4777
2017-08-17,32.8231,36.8407
2017-08-16,28.8860,30.6549
2017-08-14,28.1429,30.9736
2017-08-11,26.4175,25.0295
2017-08-10,26.7081,28.4255
2017-08-09,28.0888,25.7976
2017-08-08,31.3970,25.9011
2017-08-07,39.6353,32.5677
2017-08-04,49.3903,35.7222
2017-08-03,54.8211,50.6161
2017-08-02,54.5193,61.8325
2017-08-01,47.9111,52.0146
2017-07-31,45.0785,49.7109
2017-07-28,40.6108,42.0077
2017-07-27,38.9199,43.5169
2017-07-26,43.3509,36.3079
2017-07-25,54.4961,36.9349
2017-07-24,67.3473,56.8098
2017-07-21,70.7328,69.7437
2017-07-20,69.4158,75.4884
2017-07-19,68.2688,66.9664
2017-07-18,72.3619,65.7927
2017-07-17,78.0422,72.0473
2017-07-14,82.4374,79.2457
2017-07-13,84.1396,82.8336
2017-07-12,83.5687,85.2331
2017-07-11,77.7375,84.3521
2017-07-10,68.2269,81.1208
2017-07-07,55.4831,67.7397
2017-07-06,44.6499,55.8201
2017-07-05,36.4655,42.8893
2017-07-04,30.3699,35.2404
2017-07-03,25.0450,31.2668
2017-06-30,18.8651,24.6025
2017-06-29,15.7377,19.2657
2017-06-28,18.5017,12.7271
2017-06-27,29.6605,15.2203
2017-06-23,44.9328,27.5576
2017-06-22,52.6179,46.2035
2017-06-21,51.0505,61.0374
2017-06-20,43.2918,50.6126
2017-06-19,39.7819,41.5015
2017-06-16,38.3314,37.7614
2017-06-15,35.1819,40.0827
2017-06-14,28.8202,37.1500
2017-06-13,27.8306,28.3128
2017-06-12,31.3719,20.9976
2017-06-09,43.8623,34.1814
2017-06-08,49.4896,38.9367
2017-06-07,54.1734,58.4689
2017-06-06,50.2461,51.0632
2017-06-05,50.3758,52.9880
2017-06-02,53.4283,46.6873
2017-06-01,63.3641,51.4521
2017-05-31,76.0424,62.1454
2017-05-30,76.5806,76.4948
2017-05-29,69.4865,89.4870
2017-05-26,56.4768,63.7601
2017-05-25,55.6304,55.2126
2017-05-24,51.4092,50.4577
2017-05-23,48.7033,61.2209
2017-05-22,44.3681,42.5490
2017-05-19,51.5680,42.3401
